impacto_presupuestario_anio,impacto_presupuestario_mes,ejercicio_presupuestario,sector_id,sector_desc,subsector_id,subsector_desc,caracter_id,caracter_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,entidad_id,entidad_desc,servicio_id,servicio_desc,programa_id,programa_desc,subprograma_id,subprograma_desc,proyecto_id,proyecto_desc,actividad_id,actividad_desc,obra_id,obra_desc,finalidad_id,finalidad_desc,funcion_id,funcion_desc,inciso_id,inciso_desc,principal_id,principal_desc,parcial_id,parcial_desc,subparcial_id,subparcial_desc,clasificador_economico_8_digitos_id,clasificador_economico_8_digitos_desc,fuente_financiamiento_id,fuente_financiamiento_desc,ubicacion_geografica_id,ubicacion_geografica_desc,unidad_ejecutora_id,unidad_ejecutora_desc,prestamo_externo_id,prestamo_externo_desc,codigo_bapin_id,codigo_bapin_desc,credito_presupuestado,credito_vigente,credito_comprometido,credito_devengado,credito_pagado,ultima_actualizacion_fecha
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,1,Personal permanente,1,Retribución del cargo,0,Retribución del cargo,21211000,Sueldos y salarios,1.1,Tesoro Nacional,2,Ciudad Autónoma de Buenos Aires,392,Honorable Cámara de Senadores,0,GENERICO,0,El Organismo no carga BAPIN,"10073,686483","10073,686483","1250,2081385","1250,2081385","1250,2081385",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,1,Personal permanente,3,Retribuciones que no hacen al cargo,0,Retribuciones que no hacen al cargo,21211000,Sueldos y salarios,1.1,Tesoro Nacional,2,Ciudad Autónoma de Buenos Aires,392,Honorable Cámara de Senadores,0,GENERICO,0,El Organismo no carga BAPIN,"1014,010535","1014,010535",0,0,0,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,1,Personal permanente,4,Sueldo anual complementario,0,Sueldo anual complementario,21211000,Sueldos y salarios,1.1,Tesoro Nacional,2,Ciudad Autónoma de Buenos Aires,392,Honorable Cámara de Senadores,0,GENERICO,0,El Organismo no carga BAPIN,"931,378283","931,378283","1,34395441","1,34395441","1,34395441",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,1,Personal permanente,6,Contribuciones patronales,0,Contribuciones patronales,21212000,Contribuciones patronales,1.1,Tesoro Nacional,2,Ciudad Autónoma de Buenos Aires,392,Honorable Cámara de Senadores,0,GENERICO,0,El Organismo no carga BAPIN,"1455,647689","1455,647689",0,0,0,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,1,Personal permanente,7,Complementos,0,Complementos,21211000,Sueldos y salarios,1.1,Tesoro Nacional,2,Ciudad Autónoma de Buenos Aires,392,Honorable Cámara de Senadores,0,GENERICO,0,El Organismo no carga BAPIN,"27,432534","27,432534",0,0,0,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,2,Personal temporario,1,Retribuciones del cargo,0,Retribuciones del cargo,21211000,Sueldos y salarios,1.1,Tesoro Nacional,2,Ciudad Autónoma de Buenos Aires,392,Honorable Cámara de Senadores,0,GENERICO,0,El Organismo no carga BAPIN,"2074,746852","2074,746852",0,0,0,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,2,Personal temporario,2,Retribuciones que no hacen al cargo,0,Retribuciones que no hacen al cargo,21211000,Sueldos y salarios,1.1,Tesoro Nacional,2,Ciudad Autónoma de Buenos Aires,392,Honorable Cámara de Senadores,0,GENERICO,0,El Organismo no carga BAPIN,"582,724204","582,724204",0,0,0,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,2,Personal temporario,3,Sueldo anual complementario,0,Sueldo anual complementario,21211000,Sueldos y salarios,1.1,Tesoro Nacional,2,Ciudad Autónoma de Buenos Aires,392,Honorable Cámara de Senadores,0,GENERICO,0,El Organismo no carga BAPIN,"350,266158","350,266158",0,0,0,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,2,Personal temporario,5,Contribuciones patronales,0,Contribuciones patronales,21212000,Contribuciones patronales,1.1,Tesoro Nacional,2,Ciudad Autónoma de Buenos Aires,392,Honorable Cámara de Senadores,0,GENERICO,0,El Organismo no carga BAPIN,"706,160683","706,160683",0,0,0,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,5,Asistencia social al personal,1,Seguros de riesgo de trabajo,0,Seguros de riesgo de trabajo,21213000,Prestaciones sociales,1.1,Tesoro Nacional,2,Ciudad Autónoma de Buenos Aires,392,Honorable Cámara de Senadores,0,GENERICO,0,El Organismo no carga BAPIN,"5,43501","5,43501",0,0,0,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,5,Asistencia social al personal,9,Otras asistencias sociales al personal,0,Otras asistencias sociales al personal,21213000,Prestaciones sociales,1.1,Tesoro Nacional,2,Ciudad Autónoma de Buenos Aires,392,Honorable Cámara de Senadores,0,GENERICO,0,El Organismo no carga BAPIN,"6,432172","6,432172",0,0,0,Última actualización del ejercicio 2022: 02 Julio 2023.
